molecule_id,smiles,gap
80,C[N+](C)(C)CC(O)CC(=O)O,
81,Nc1c(O)cccc1C(=O)O,
82,CC(CO)C(=O)O,
83,CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,
84,Nc1c(O)cccc1C(=O)CC(N)C(=O)O,
85,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)CCC(=O)O,
86,O=C(O)CCc1cccc(O)c1,
87,C=CC1(O)CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,
88,O=C(O)CCC(=O)CC(=O)O,
89,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)O,
90,O=C(O)C(O)C(=O)C(O)C(O)CO,
91,CC(=O)CC(=O)O,
92,O=C1C(O)C(CO)OC(OC2C(CO)OC(O)C(O)C2O)C1O,
93,O=C(O)C(=O)CS,
94,CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,
95,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cc(C(=O)O)ccc1O,
96,O=Cc1cccc(O)c1,
97,OCc1cccc(O)c1,
98,CC(CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C1CCC2C3C(O)CC4CC(=O)CCC4(C)C3CC(O)C12C,
99,O=C(O)CC1=CCC(=O)O1,
100,O=C(O)C(=O)COP(=O)(O)O,
101,NC(COP(=O)(O)O)C(=O)O,
102,O=C(O)CCc1ccccc1,
103,O=C(O)Cc1cccnc1,
104,NC(CS(=O)O)C(=O)O,
105,O=C(O)C(=O)CS(=O)O,
106,NC(=O)NCCC(=O)O,
107,O=C([O-])C(=O)C(O)COP(=O)(O)O,
108,O=C(O)C(=O)C(O)COP(=O)(O)O,
109,O=C(O)CCCc1cccnc1,
110,NC1COC(OP(=O)(O)O)C(O)C1O,
111,C=C(OC1C=C(C(=O)O)C=CC1N)C(=O)O,
112,Nc1nc[nH]c1C(=O)O,
113,NCCCC=O,
114,NCCCC(=O)O,
115,O=C(O)C=C1C=CC(=O)O1,
116,CC(O)(CO)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O,
117,O=C(O)C=CC(=O)CC(=O)CC(=O)O,
118,NC(=O)CCCN=C(N)N,
119,CC(O)CC(=O)C(=O)O,
120,OCc1ccc(O)cc1,
121,O=Cc1ccc(O)cc1,
122,O=C(O)Cc1ccc(O)cc1,
123,O=C(O)CCC1N=CNC1=O,
124,CC(C)CCC=O,
125,O=C(O)CC(O)(CC(=O)C(=O)O)C(=O)O,
126,CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)O,
127,CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)NC(CS)C(=O)O,
128,C[N+](C)(C)CCCC=O,
129,C[N+](C)(C)CCCC(=O)O,
130,O=C(O)c1ccc(O)cc1,
131,NCC(=O)CCC(=O)O,
132,NCCCCC(=O)O,
133,CC(C)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,
134,CC(CO)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,
135,O=C1COC(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)C(O)C1O,
136,CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,
137,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,
138,O=C(O)C(=O)CC(O)C(O)C(=O)O,
139,CSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,
140,NC1OC(COP(=O)(O)O)C(O)C1O,
141,O=CNCC(=O)NC1OC(COP(=O)(O)O)C(O)C1O,
142,NCC(=O)NC1OC(COP(=O)(O)O)C(O)C1O,
143,Nc1cncn1C1OC(COP(=O)(O)O)C(O)C1O,
144,NC(CNC=O)=NC1OC(COP(=O)(O)O)C(O)C1O,
145,NC(=O)Nc1nc[nH]c1C(=O)O,
146,c1ncc2c(n1)NCCN2,
147,O=C(O)C(O)C(O)C(O)C(=O)CO,
148,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,
149,CCCCCC(O)C=CC1C(O)CC2OC(=CCCCC(=O)O)CC21,
150,CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O,
151,NC1=NC2NCC(C(O)C(O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)=NC2C(=O)N1,
152,CC1(C)SC2C(N)C(=O)N2C1C(=O)O,
153,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CCCCCC(=O)O,
154,[N-]=[N+]=CC(=O)CCC(N)C(=O)O,
155,N#[N+]C=C(O)CCC(N)C(=O)O,
156,CC(=O)C(=O)C1CNC2N=C(N)NC(=O)C2N1,
157,c1ncc2c(n1)=NCCN=2,
158,O=P(O)(O)OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,
159,CCCCCC=CCC(O)C=CC=CC=CC(O)CCCC(=O)O,
160,CC(C)CCCC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C,
161,CC(N)C(=O)CCCCCC(=O)O,
162,OCCO,
163,CC(=O)[O-],
164,CC(=O)O,
165,CC=O,
166,CC(N)=O,
167,CC(=O)C(C)O,
168,CC(C)=O,
169,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,
170,CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)OC(CO)C(O)C1O,
171,CC(=O)NC1C(OC2C(CO)OC(OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(NC(C)=O)C2O)OC(CO)C(O)C1O,
172,CC(=O)NC1C(NC(=O)CC(N)C(=O)O)OC(CO)C(O)C1O,
173,CC(=O)NC(CCC(=O)O)C(=O)O,
174,CC(=O)OP(=O)(O)O,
175,CC(=O)OCC[N+](C)(C)C,
176,CC(=O)OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,
177,CC(=O)OCC(N)C(=O)O,
178,Nc1ncnc2nc[nH]c12,
179,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,
180,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC2OC(O)C(O)C2O)C(O)C1O,
181,Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,
182,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)C(O)C1O,
183,O=C(O)CC(Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O)C(=O)O,
184,O=C(O)CCCCC(=O)O,
185,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,
186,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O,
187,NCCCCN=C(N)N,
188,NC(=O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N,
189,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,
190,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,
191,NC(=O)NC(NC(N)=O)C(=O)O,
192,NC(=O)NC1NC(=O)NC1=O,
193,CC(O)C(N)C(=O)O,
194,OCC1OC(O)C(O)C(O)C1O,
195,NC(CCCC=O)C(=O)O,
196,O=P(O)(O)OCC1OC(O)C(O)C(O)C1O,
197,CC(=O)NC(CC(=O)NC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(OC4(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O4)C3O)C(O)C2NC(C)=O)C(O)C1NC(C)=O)C(N)=O,
198,CC(=O)NC1C(O)OC(CO)C(OC2OC(COC3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O3)C(O)C(O)C2O)C1O,
199,Cc1cc2ncn(C3OC(CO)C(O)C3O)c2cc1C,
200,Cc1cc2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2cc1C,
201,CCCCCC(O)C=CC1OC2CC(O2)C1CC=CCCCC(=O)O,
202,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,
203,CC(=O)CN,
204,Cc1ncc(COP(=O)(O)O)c(N)n1,
205,Cc1ncc(COP(=O)(O)OP(=O)(O)O)c(N)n1,
206,CC(=O)C(N)C(=O)O,
207,CCOP(=S)(OCC)Oc1ccc(N)cc1,
208,Nc1c(NCC(O)C(O)C(O)CO)[nH]c(=O)[nH]c1=O,
209,N,
210,[NH4+],
211,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,
212,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,
213,NC(O)P,
214,Nc1ccccc1C(=O)O,
215,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(O)C1O,
216,OC1COC(O)C(O)C1O,
217,O=CC(O)C(O)C(O)COP(=O)(O)O,
218,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,
219,NC(N)=NCCCC(N)C(=O)O,
220,O=[As]([O-])([O-])O,
221,O=[As](O)(O)O,
222,NC(=O)CC(N)C(=O)O,
223,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,
224,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,
225,NCCC(=O)O,
226,O=Cc1ccccc1,
227,c1ccccc1,
228,O=C([O-])c1ccccc1,
229,O=C(O)c1ccccc1,
230,OCc1ccccc1,
231,CC(=O)NC1C(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O,
232,CC12CCC3C(CCC4CC(OS(=O)(=O)O)CCC43C)C1CCC2=O,
233,C[N+](C)(C)CC(=O)[O-],
234,C[N+](C)(C)CC(=O)O,
235,C[N+](C)(C)CC=O,
236,C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O,
237,C=CC1=C(C)C(C=c2[nH]c(=Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)=NC1=O,
238,O=C(O)CCCCC1SCC2NC(=O)NC21,
239,Oc1cccc(-c2ccccc2)c1O,
240,O=[N+]([O-])c1ccc(OP(=O)(O)Oc2ccc([N+](=O)[O-])cc2)cc1,
241,CCCCCCCCCCCC(O)CC(=O)NC1C(OCC2OC(OP(=O)(O)O)C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C2O)OC(CO)C(O)C1OC(=O)CC(O)CCCCCCCCCCC,
242,CCCCCCCCCCCC(O)CC(=O)NC1C(OP(=O)(O)O)OC(CO)C(O)C1OC(=O)CC(O)CCCCCCCCCCC,
243,[H]/N=C(\N)N(C)CCC(N)CC(=O)NC1C=CC(n2ccc(N)nc2=O)OC1C(=O)O,
244,[Br-],
245,Br,
246,CCCC=O,
247,CC(O)C(C)O,
248,CCCCO,
249,CCCC(=O)O,
250,CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,
251,CCCC(=O)OP(=O)(O)O,
252,CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)NC(CCCC(N)C(=O)O)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O,
253,CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(C)C(=O)O,
254,CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)OC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)NC(CCCC(N)C(=O)O)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O,
255,CC(=O)NC1C(OC2C(CO)OC(OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(NC(C)=O)C2OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)NC(CCCC(N)C(=O)O)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)OC(CO)C(O)C1O,
256,[Ca+2],
257,NCCCCCN,
258,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,
259,NC(N)=NOCCC(N)C(=O)O,
260,NC(=O)[O-],
261,NC(=O)O,
262,NC(=O)OP(=O)(O)O,
263,NC(=O)NC(CC(=O)O)C(=O)O,
264,O=C=O,
265,[C-]#[O+],
266,O=C(O)CCC1=CC=CC(O)C1O,
267,O=C[O-],
268,O=CO,
269,NOCC(=O)[O-],
270,NOCC(=O)O,
271,O=C(O)c1ccccc1NCC(=O)C(O)C(O)COP(=O)(O)O,
272,C[N+](C)(C)CC(O)CC(=O)[O-],
273,Oc1ccccc1O,
274,Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1,
275,C[N+](C)(C)CCOP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O,
276,Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)n1,
277,NCCOP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O,
278,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,
279,CC(C=O)C(=O)O,
280,C,
281,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,
282,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,
283,O=C(O)CCl,
284,Oc1ccc(O)c(Cl)c1,
285,CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(O)CCC4(C)C3CC(O)C12C,
286,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,
287,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,
288,C[N+](C)(C)CCO,
289,C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O,
290,O=CC=Cc1ccccc1,
291,OCC=Cc1ccccc1,
292,O=C(O)C=C(CC(=O)O)C(=O)O,
293,O=C(O)C=CC=CC(=O)O,
294,O=C(O)CC(O)(CC(=O)O)C(=O)O,
295,[Cl-],
296,Cl,
297,Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1,
298,Nc1ccn(C2OC(COP(=O)(O)OCC(O)C(O)C(O)C(O)CC(=O)C(=O)O)C(O)C2O)c(=O)n1,
299,CC(=O)NC1C(O)CC(OP(=O)(O)OCC2OC(n3ccc(N)nc3=O)C(O)C2O)(C(=O)O)OC1C(O)C(O)CO,
300,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS,
301,CC1=C2N=C(CC3=NC(C(C)C4=NC(C(CC(N)=O)C4(C)CCC(=O)NCC(C)O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O.[Co],
302,CC1=C2N=C(CC3=NC(C(C)C4=NC(C(CC(N)=O)C4(C)CCC(=O)NCC(C)O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O,
303,OCC1OC(n2cnc3c2NC=NCC3O)C(O)C1O,
304,Cc1c2[nH]c(c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(C)c1CCC(=O)O)C2,
305,O=C(O)C=Cc1ccc(O)cc1,
306,O=c1ccc2ccccc2o1,
307,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)C=Cc1ccc(O)cc1,
308,CC(C)c1ccc(CO)cc1,
309,CC(C)c1ccc(C=O)cc1,
310,O=C(O)C(O)c1ccc(O)cc1,
311,CSCC(O)C(O)C(=O)COP(=O)(O)O,
312,CC(C)CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)CC1CC3,
313,CC(N)CC(N)CC(=O)O,
314,C=Cc1ccc(O)c(OC)c1,
315,Nc1c(NCC(O)C(O)C(O)COP(=O)(O)O)[nH]c(=O)[nH]c1=O,
316,CC(C)CCCC(C)C1CCC2C3C(O)CC4=CC(=O)CCC4(C)C3CCC12C,
317,Cc1ccccc1O,
318,NC(=O)NC(O)C(=O)O,
319,CC(=O)C(O)C(O)CO,
320,O=C(O)c1ccccc1O,
321,NCCP(=O)(O)O,
322,Cc1cccc(O)c1O,
323,O=C(O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,
324,Cc1cccc(O)c1,
325,O=P1(O)OC2C(O)C(O)C(O)C(O)C2O1,
326,O=C1CC(O)C(O)C(O)C1=O,
327,CC(C(=O)O)=C(CC(=O)O)C(=O)O,
328,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,
329,OCc1cccc(OC2OC(CO)C(O)C(O)C2O)c1,
330,O=P(O)(O)OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,
331,O=C1C(O)C(O)OC(CO)C1O,
332,CC(OP(=O)(O)O)C(NC(=O)CCCCCCS)C(=O)O,
333,CC(OP(=O)(O)O)C(NC(=O)CCCCCCSSCCS(=O)(=O)O)C(=O)O,
334,CC(OC(=O)C(N)CCC(=O)O)C(OC(=O)C(N)CCC(=O)O)C1=CNc2nc(N)nc(OC(=O)C(N)CCC(=O)O)c2N1,
335,CC(OC(=O)C(N)CCC(=O)O)C(OC(=O)C(N)CCC(=O)O)C1=CNc2nc(N)nc(OC(=O)C(N)CCC(=O)O)c2N1C,
336,O=C(O)CCC=CC(=O)C(=O)O,
337,O=C(O)C(=O)c1ccc(O)cc1,
338,CCCCCCCC,
339,ClC1=CC(Cl)C(Cl)=CC1Cl,
340,CC(N)CC(=O)CC(=O)O,
341,Oc1cc(O)cc(O)c1,
342,CCC(C)=CCCCC(C)CCOP(=O)(O)OC1OC(CO)C(O)C(O)C1O,
343,O=C1C=C(O)CC(O)C1,
344,OC1C=Cc2ccccc2C1O,
345,NCC=O,
346,NCC(N)C(=O)O,
347,CCCCCC=CCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,
348,CC(=O)Oc1ccc2c(C)cc(=O)oc2c1,
349,NCCCCNCCCCN,
350,O=C(O)c1cc(O)c(O)c(O)c1,
351,O=C(O)C#CC(=O)O,
352,O=C(O)c1cc(C(=O)O)oc(=O)c1,
353,O=C(O)CC(=CC(=O)C(=O)O)C(=O)O,
354,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCO,
355,CC(=O)CC(O)CC(=O)O,
356,CCC(C)=CCCCC(C)CCOP(=O)(O)OP(=O)(O)OC1OC(CO)C(O)C(O)C1NC(C)=O,
357,O=[N+]([O-])c1ccc(OP(=O)(O)O)cc1,
358,CCCCCCCC(=O)O,
359,CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,
360,CC(=O)CC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,
361,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)c1ccc(O)cc1,
